date,tempC,tempF,humid,heatindex
20130311,3.8,38.8,33.5,3.77
20130312,6.9,44.5,58.3,6.93
20130313,5.7,42.2,67.8,5.67
20130314,4.2,39.5,48.3,4.17
20130315,4.4,40,45.6,4.43
20130316,6.1,43,49.9,6.1
20130317,8.1,46.6,56.6,8.12
20130318,8,46.4,74.1,8.02
20130319,7.8,46.1,63.8,7.82
20130320,3.6,38.4,52.5,3.55
20130321,1.1,34,34,1.11
20130322,3.4,38.1,61.2,3.4
20130323,5,41,43,4.98
20130324,5.3,41.6,44.5,5.32
20130325,2.8,37.1,41.4,2.82
20130326,4.2,39.6,39.5,4.24
20130327,7.2,44.9,32.5,7.18
20130328,7.3,45.1,41.1,7.3
20130329,5.4,41.7,29.6,5.38
20130330,5,40.9,38.8,4.95
20130331,6,42.9,49.7,6.04
20130401,8.9,48,40.8,8.88
20130402,7.4,45.3,84.4,7.4
20130403,7.9,46.3,63.8,7.92
20130404,12.1,53.8,46,12.13
20130405,14.6,58.3,40.5,14.61
20130406,8.3,47,81.5,8.34
20130407,4.9,40.9,60.4,4.94
20130408,7.6,45.8,55.5,7.65
20130409,6.7,44.1,49.7,6.71
20130410,4.7,40.5,51.9,4.7
20130411,6,42.8,51.4,5.99
20130412,6.6,43.9,41.9,6.61
20130413,10.8,51.4,38.5,10.78
20130414,8.9,47.9,41.8,8.86
20130415,7.1,44.8,31.6,7.1
20130416,13.1,55.5,49.8,13.08
20130417,14.6,58.3,64.2,14.61
20130418,12.7,54.9,40.5,12.7
20130419,9.8,49.6,25.8,9.8
20130420,6.6,43.8,72.9,6.56
20130421,8.8,47.8,59.5,8.79
20130422,11.3,52.3,45.7,11.29
20130423,11.2,52.2,54.8,11.22
20130424,12.4,54.2,68.5,12.35
20130425,9.3,48.8,79.5,9.33
20130426,11.3,52.3,57.3,11.29
20130427,12.8,55,51.8,12.78
20130428,15.6,60.1,50.4,15.63
20130429,14.4,58,66.3,14.43
20130430,13,55.4,51.2,13.03
20130501,13.3,55.9,49.3,13.27
20130502,12.5,54.6,64.2,12.53
20130503,12.6,54.7,65.9,12.58
20130504,13.9,57.1,57.9,13.93
20130505,14.3,57.7,52.5,14.29
20130506,14.4,57.9,55.5,14.37
20130507,18.6,65.5,40.8,18.6
20130508,19.2,66.6,33.5,19.24
20130509,18.1,64.6,52.8,18.12
20130510,14.4,57.9,89.2,14.38
20130511,17.4,63.3,57.3,17.4
20130512,19.1,66.4,61.2,19.13
20130513,21.5,70.8,47,21.54
20130514,20.3,68.6,42.3,20.34
20130515,19.4,67,59.5,19.43
20130516,21.9,71.4,34.4,21.88
20130517,20.4,68.7,33.3,20.38
20130518,17.8,64.1,60.1,17.82
